occurrenceID,institutionCode,year,month,day,stateProvince,county,locality,decimalLatitude,decimalLongitude
7aa384c0-b8d4-4e7e-9c57-6ea3d78e8310,NY,1900,9,25,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
ba813f29-c729-4f73-99fa-4430f64d3e3c,NY,1903,,,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
90541f37-eb17-4dab-b8b9-dbf2ad38165c,NY,1896,5,11,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
38de0406-8efc-48dd-9422-0f0681bbfc0d,NY,1900,9,25,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
6cade477-a4d6-42d7-bd01-b6feddd9c091,NY,1896,10,7,New York,Bronx Co.,Bronx Park.,40.8565,-73.8771
b15e2c8e-c9d5-41d8-93ca-ba72cf4283ac,NY,1896,5,11,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
1407cc64-8ce9-44e1-865c-fb74dcd3067d,NY,1896,5,5,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
0b62caa5-2136-4384-b054-d36f3d28aa62,NY,1896,10,7,New York,Bronx Co.,Bronx Park,40.8565,-73.8771
baff30d0-11f1-4135-b200-30f62e80dcc6,NY,2010,9,16,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and W of the Bronx River",40.864,-73.8773
e107aff1-5591-409e-b445-e193d58a788b,NY,2012,10,30,New York,Bronx Co.,New York Botanical Garden,40.8672,-73.8775
b842a7f5-d674-45ba-b6fd-54bdeefc4f2d,NY,2016,11,6,New York,Bronx Co.,"Grounds of the New York Botanical Garden. Watson Building NE corner, E corner of the intersection of Magnolia Way and the service drive adjacent to the Watson Building",40.8667,-73.8776
23d10f6b-dd0f-479e-8b16-95e896fb3654,NY,2016,8,19,New York,Bronx Co.,New York Botanical Garden. South Arboretum,40.8577,-73.8777
be7f6e84-777c-4168-abbf-c114cb0037c4,NY,2006,5,3,New York,Bronx Co.,Bronx. The New York Botanical Garden,40.8597,-73.8778
f78cc62d-83fc-47c4-9674-b5e35a28765a,NY,2016,11,6,New York,Bronx Co.,Grounds of the New York Botanical Garden. Watson Buildingnorth end. North of and adjacent to the intersection of Magnolia Way and the service drive,40.8669,-73.8778
edf2a31d-0cd6-467f-835e-aed505a66462,NY,2010,7,27,New York,Bronx Co.,"City of New York. Grounds of The New York Botanical Garden, N of Waring Avenue and W of the Bronx River",40.8634,-73.8779
0bafeaad-38ef-4d96-9183-9341f6546cb2,NY,1991,5,23,New York,Bronx Co.,The New York Botanical Garden,40.8624,-73.878
03921cbd-4604-4f09-8f4e-940ede73c716,NY,1976,5,22,New York,Bronx Co.,The New York Botanical Garden,40.8624,-73.8781
0bafeaad-38ef-4d96-9183-9341f6546cb2,NY,1991,5,23,New York,Bronx Co.,The New York Botanical Garden,40.8624,-73.8781
39cab5e8-24b4-47c0-a547-d9166443e5f1,NY,2008,9,22,New York,Bronx Co.,"The New York Botanical Garden, NW entrance of herbarium building",40.8674,-73.8787
ed5a05e2-e56c-40ec-9c3f-3bf841ba2300,NY,2009,6,22,New York,Bronx Co.,"Botanical Garden, between the main building and Kazimiroff Drive and end of Mosholu Parkway",40.8672,-73.879
95461093-b371-4a67-8e89-7369ce3b274c,NY,2016,10,29,New York,Bronx Co.,Grounds of the New York Botanical Garden. Adjacent to and north of the Children's Adventure Garden. Planted along path that borders the S end of the Native Plant Garden,40.8629,-73.8791
